hours,bool,power_dev,power_met
30-May-2019 (11-07-07),0,35.6,33.486
30-May-2019 (11-07-08),0,59.7,33.486
30-May-2019 (11-07-10),0,78.9,55.90600000000001
30-May-2019 (11-07-12),0,81.4,55.90600000000001
30-May-2019 (11-07-13),0,81.4,55.90600000000001
30-May-2019 (11-07-14),0,81.4,48.28
30-May-2019 (11-10-01),0,146.9,144.53
30-May-2019 (11-10-02),0,146.9,144.53
30-May-2019 (11-10-03),0,146.9,144.53
30-May-2019 (11-12-06),0,141.8,135.166
30-May-2019 (11-12-07),0,141.8,135.166
30-May-2019 (11-13-06),0,139.6,135.06799999999998
30-May-2019 (11-13-07),0,139.6,135.06799999999998
30-May-2019 (11-13-36),0,172.6,135.507
30-May-2019 (11-13-37),0,172.6,135.507
30-May-2019 (11-15-55),0,152.0,151.615
30-May-2019 (11-15-56),0,152.0,151.615
30-May-2019 (11-15-57),0,152.0,151.615
30-May-2019 (11-15-58),0,152.0,151.615
30-May-2019 (11-16-41),0,162.5,136.14600000000002
30-May-2019 (11-17-45),0,170.7,145.85
30-May-2019 (11-17-46),0,170.7,145.85
30-May-2019 (11-17-47),0,170.7,145.85
30-May-2019 (11-17-48),0,170.7,145.85
30-May-2019 (11-18-01),0,168.9,136.718
30-May-2019 (11-18-02),0,168.9,136.718
30-May-2019 (11-18-03),0,168.9,136.718
30-May-2019 (11-19-21),0,147.2,135.62
30-May-2019 (11-19-22),0,147.2,135.62
30-May-2019 (11-19-23),0,147.2,135.62
30-May-2019 (11-20-56),0,135.1,133.893
30-May-2019 (11-20-57),0,135.1,133.893
30-May-2019 (11-20-58),0,135.1,133.893
30-May-2019 (11-21-49),0,151.8,118.165
30-May-2019 (11-21-50),0,151.8,118.165
30-May-2019 (11-21-51),0,151.8,118.165
30-May-2019 (11-21-52),0,151.8,118.165
30-May-2019 (11-21-53),0,151.8,118.165
30-May-2019 (11-21-54),0,151.8,121.115
30-May-2019 (11-21-55),0,151.8,121.115
30-May-2019 (11-21-56),0,151.8,121.115
30-May-2019 (11-21-57),0,151.8,121.115
30-May-2019 (11-22-00),0,150.2,26.411
30-May-2019 (11-22-01),0,150.2,26.411
30-May-2019 (11-22-02),0,150.2,26.411
30-May-2019 (11-22-03),0,150.2,26.411
30-May-2019 (11-22-04),0,150.2,119.532
30-May-2019 (11-22-05),0,150.2,119.532
30-May-2019 (11-22-06),0,150.2,119.532
30-May-2019 (11-22-07),0,150.2,119.532
30-May-2019 (11-22-16),0,178.5,26.602
30-May-2019 (11-22-17),0,178.5,26.602
30-May-2019 (11-22-18),0,178.5,26.602
30-May-2019 (11-22-19),0,178.5,124.147
30-May-2019 (11-22-20),0,178.5,124.147
30-May-2019 (11-22-21),0,178.5,124.147
30-May-2019 (11-22-22),0,178.5,124.147
30-May-2019 (11-22-23),0,178.5,124.147
30-May-2019 (11-22-24),0,178.5,121.455
30-May-2019 (11-22-25),0,178.5,121.455
30-May-2019 (11-22-26),0,178.5,121.455
30-May-2019 (11-22-27),0,178.5,121.455
30-May-2019 (11-22-28),0,178.5,121.455
30-May-2019 (11-22-32),0,144.9,92.914
30-May-2019 (11-22-33),0,144.9,92.914
30-May-2019 (11-22-34),0,144.9,106.46
30-May-2019 (11-22-35),0,144.9,106.46
30-May-2019 (11-22-36),0,144.9,106.46
30-May-2019 (11-22-37),0,144.9,106.46
30-May-2019 (11-22-42),0,130.5,120.192
30-May-2019 (11-22-48),0,170.3,113.143
30-May-2019 (11-22-49),0,170.3,116.562
30-May-2019 (11-22-50),0,170.3,116.562
30-May-2019 (11-22-51),0,170.3,116.562
30-May-2019 (11-22-52),0,170.3,116.562
30-May-2019 (11-22-53),0,170.3,116.562
30-May-2019 (11-22-54),0,170.3,119.336
30-May-2019 (11-22-55),0,170.3,119.336
30-May-2019 (11-22-56),0,170.3,119.336
30-May-2019 (11-22-57),0,170.3,119.336
30-May-2019 (11-22-58),0,170.3,119.336
30-May-2019 (11-22-59),0,170.3,124.936
30-May-2019 (11-23-00),0,170.3,124.936
30-May-2019 (11-23-13),0,152.7,118.82
30-May-2019 (11-23-14),0,152.7,123.477
30-May-2019 (11-23-15),0,152.7,123.477
30-May-2019 (11-23-16),0,152.7,123.477
30-May-2019 (11-23-20),0,178.7,48.635
30-May-2019 (11-23-21),0,178.7,48.635
30-May-2019 (11-23-22),0,178.7,48.635
30-May-2019 (11-23-23),0,178.7,48.635
30-May-2019 (11-23-24),0,178.7,121.13
30-May-2019 (11-23-25),0,178.7,121.13
30-May-2019 (11-23-26),0,178.7,121.13
30-May-2019 (11-23-27),0,178.7,121.13
30-May-2019 (11-23-28),0,178.7,121.13
30-May-2019 (11-23-29),0,178.7,122.218
30-May-2019 (11-23-30),0,178.7,122.218
30-May-2019 (11-23-31),0,178.7,122.218
30-May-2019 (11-23-32),0,178.7,122.218
30-May-2019 (11-23-35),0,42.1,26.715
30-May-2019 (11-23-36),0,159.6,26.715
30-May-2019 (11-23-37),0,159.6,26.715
30-May-2019 (11-23-38),0,159.6,26.715
30-May-2019 (11-23-40),0,159.2,116.917
30-May-2019 (11-23-52),0,146.4,62.718
30-May-2019 (11-23-53),0,146.4,62.718
30-May-2019 (11-23-54),0,146.4,113.736
30-May-2019 (11-23-55),0,146.4,113.736
30-May-2019 (11-23-56),0,146.4,113.736
30-May-2019 (11-23-57),0,146.4,113.736
30-May-2019 (11-23-58),0,146.4,113.736
30-May-2019 (11-23-59),0,146.4,124.714
30-May-2019 (11-24-00),0,146.4,124.714
30-May-2019 (11-24-01),0,146.4,124.714
30-May-2019 (11-24-02),0,146.4,124.714
30-May-2019 (11-24-03),0,146.4,124.714
30-May-2019 (11-24-04),0,146.4,117.48
30-May-2019 (11-24-08),0,159.8,117.48
30-May-2019 (11-24-13),0,158.1,99.107
30-May-2019 (11-24-18),0,184.3,121.089
30-May-2019 (11-24-19),0,184.3,125.209
30-May-2019 (11-24-20),0,184.3,125.209
30-May-2019 (11-24-29),0,178.9,117.412
30-May-2019 (11-24-30),0,178.9,117.412
30-May-2019 (11-24-31),0,178.9,117.412
30-May-2019 (11-24-32),0,178.9,117.412
30-May-2019 (11-24-33),0,178.9,117.412
30-May-2019 (11-24-34),0,178.9,118.238
30-May-2019 (11-24-35),0,178.9,118.238
30-May-2019 (11-24-36),0,178.9,118.238
30-May-2019 (11-24-39),0,108.0,79.471
30-May-2019 (11-24-40),0,152.3,79.471
30-May-2019 (11-24-42),0,95.5,79.471
30-May-2019 (11-24-43),0,95.5,79.471
30-May-2019 (11-24-48),0,176.3,120.114
30-May-2019 (11-24-49),0,176.3,119.269
30-May-2019 (11-24-50),0,176.3,119.269
30-May-2019 (11-24-51),0,176.3,119.269
30-May-2019 (11-24-52),0,176.3,119.269
30-May-2019 (11-24-55),0,108.8,26.473000000000006
30-May-2019 (11-24-56),0,108.8,26.473000000000006
30-May-2019 (11-24-57),0,108.8,26.473000000000006
30-May-2019 (11-24-58),0,108.8,26.473000000000006
30-May-2019 (11-25-11),0,118.2,37.167
30-May-2019 (11-25-12),0,141.2,37.167
30-May-2019 (11-25-13),0,74.2,37.167
30-May-2019 (11-25-14),0,167.9,116.948
30-May-2019 (11-25-15),0,167.9,116.948
30-May-2019 (11-25-16),0,167.9,116.948
30-May-2019 (11-25-17),0,167.9,116.948
30-May-2019 (11-25-18),0,167.9,116.948
30-May-2019 (11-25-19),0,167.9,118.459
30-May-2019 (11-25-20),0,167.9,118.459
30-May-2019 (11-25-21),0,167.9,118.459
30-May-2019 (11-25-22),0,167.9,118.459
30-May-2019 (11-25-23),0,167.9,118.459
30-May-2019 (11-25-24),0,167.9,123.822
30-May-2019 (11-25-29),0,113.8,104.382
30-May-2019 (11-25-30),0,113.8,104.382
30-May-2019 (11-25-31),0,113.8,104.382
30-May-2019 (11-25-32),0,113.8,104.382
30-May-2019 (11-25-33),0,113.8,104.382
30-May-2019 (11-25-38),0,149.4,115.664
30-May-2019 (11-25-59),0,160.1,131.727
30-May-2019 (11-26-00),0,160.1,131.727
30-May-2019 (11-26-01),0,160.1,131.727
30-May-2019 (11-26-02),0,160.1,131.727
30-May-2019 (11-26-03),0,160.1,131.727
30-May-2019 (11-26-04),0,160.1,120.842
30-May-2019 (11-26-05),0,160.1,120.842
30-May-2019 (11-26-06),0,160.1,120.842
30-May-2019 (11-26-07),0,160.1,120.842
30-May-2019 (11-26-12),0,133.3,117.593
30-May-2019 (11-26-15),0,125.4,30.139
30-May-2019 (11-26-16),0,125.4,30.139
30-May-2019 (11-26-17),0,125.4,30.139
30-May-2019 (11-26-18),0,125.4,30.139
30-May-2019 (11-26-19),0,125.4,122.187
30-May-2019 (11-26-20),0,125.4,122.187
30-May-2019 (11-26-21),0,125.4,122.187
30-May-2019 (11-26-22),0,125.4,122.187
30-May-2019 (11-26-23),0,125.4,122.187
30-May-2019 (11-26-24),0,125.4,121.203
30-May-2019 (11-26-25),0,125.4,121.203
30-May-2019 (11-26-26),0,125.4,121.203
30-May-2019 (11-26-27),0,125.4,121.203
30-May-2019 (11-26-28),0,125.4,121.203
30-May-2019 (11-26-31),0,146.0,26.385
30-May-2019 (11-26-32),0,146.0,26.385
30-May-2019 (11-26-33),0,146.0,26.385
30-May-2019 (11-26-34),0,146.0,125.163
30-May-2019 (11-26-35),0,146.0,125.163
30-May-2019 (11-26-36),0,146.0,125.163
30-May-2019 (11-26-37),0,146.0,125.163
30-May-2019 (11-26-38),0,146.0,125.163
30-May-2019 (11-26-42),0,159.0,115.092
30-May-2019 (11-26-47),0,154.8,106.971
30-May-2019 (11-26-48),0,154.8,106.971
30-May-2019 (11-26-49),0,154.8,104.093
30-May-2019 (11-26-50),0,154.8,104.093
30-May-2019 (11-26-51),0,154.8,104.093
30-May-2019 (11-26-52),0,154.8,104.093
30-May-2019 (11-26-53),0,154.8,104.093
30-May-2019 (11-26-54),0,154.8,120.398
30-May-2019 (11-26-55),0,154.8,120.398
30-May-2019 (11-26-56),0,154.8,120.398
30-May-2019 (11-26-57),0,154.8,120.398
30-May-2019 (11-26-58),0,154.8,120.398
30-May-2019 (11-26-59),0,154.8,119.594
30-May-2019 (11-27-00),0,154.8,119.594
30-May-2019 (11-27-03),0,168.9,119.594
30-May-2019 (11-27-04),0,168.9,121.801
30-May-2019 (11-27-05),0,168.9,121.801
30-May-2019 (11-27-06),0,168.9,121.801
30-May-2019 (11-27-07),0,168.9,121.801
30-May-2019 (11-27-24),0,153.4,117.062
30-May-2019 (11-27-25),0,153.4,117.062
30-May-2019 (11-27-26),0,153.4,117.062
30-May-2019 (11-27-27),0,153.4,117.062
30-May-2019 (11-27-28),0,153.4,117.062
30-May-2019 (11-27-29),0,153.4,117.32
30-May-2019 (11-27-30),0,153.4,117.32
30-May-2019 (11-27-31),0,153.4,117.32
30-May-2019 (11-27-35),0,182.8,35.718
30-May-2019 (11-27-36),0,182.8,35.718
30-May-2019 (11-27-37),0,182.8,35.718
30-May-2019 (11-27-38),0,96.8,35.718
30-May-2019 (11-27-44),0,145.9,121.744
30-May-2019 (11-27-50),0,50.5,26.318
30-May-2019 (11-27-51),0,147.3,26.318
30-May-2019 (11-27-52),0,147.3,26.318
30-May-2019 (11-27-53),0,147.3,26.318
30-May-2019 (11-27-54),0,147.3,124.59
30-May-2019 (11-27-55),0,147.3,124.59
30-May-2019 (11-27-56),0,147.3,124.59
30-May-2019 (11-27-57),0,147.3,124.59
30-May-2019 (11-27-58),0,147.3,124.59
30-May-2019 (11-27-59),0,147.3,121.899
30-May-2019 (11-28-00),0,147.3,121.899
30-May-2019 (11-28-01),0,147.3,121.899
30-May-2019 (11-28-02),0,147.3,121.899
30-May-2019 (11-28-03),0,147.3,121.899
30-May-2019 (11-28-07),0,154.7,90.176
30-May-2019 (11-28-09),0,148.6,117.191
30-May-2019 (11-28-15),0,168.1,116.056
30-May-2019 (11-28-16),0,168.1,116.056
30-May-2019 (11-28-17),0,168.1,116.056
30-May-2019 (11-28-18),0,168.1,116.056
30-May-2019 (11-28-19),0,168.1,122.899
30-May-2019 (11-28-23),0,173.2,122.899
30-May-2019 (11-28-24),0,173.2,100.834
30-May-2019 (11-28-25),0,173.2,100.834
30-May-2019 (11-28-26),0,173.2,100.834
30-May-2019 (11-28-27),0,173.2,100.834
30-May-2019 (11-28-28),0,173.2,100.834
30-May-2019 (11-28-29),0,173.2,126.524
30-May-2019 (11-28-30),0,173.2,126.524
30-May-2019 (11-28-31),0,173.2,126.524
30-May-2019 (11-28-32),0,173.2,126.524
30-May-2019 (11-28-33),0,173.2,126.524
30-May-2019 (11-28-34),0,173.2,128.066
30-May-2019 (11-28-35),0,173.2,128.066
30-May-2019 (11-28-47),0,157.9,116.964
30-May-2019 (11-28-48),0,157.9,116.964
30-May-2019 (11-28-49),0,157.9,119.867
30-May-2019 (11-28-50),0,157.9,119.867
30-May-2019 (11-28-51),0,157.9,119.867
30-May-2019 (11-28-54),0,80.0,62.357
30-May-2019 (11-28-55),0,156.4,62.357
30-May-2019 (11-28-56),0,156.4,62.357
30-May-2019 (11-28-57),0,156.4,62.357
30-May-2019 (11-28-58),0,156.4,62.357
30-May-2019 (11-28-59),0,156.4,113.555
30-May-2019 (11-29-00),0,156.4,113.555
30-May-2019 (11-29-01),0,156.4,113.555
30-May-2019 (11-29-02),0,156.4,113.555
30-May-2019 (11-29-03),0,156.4,113.555
30-May-2019 (11-29-04),0,156.4,122.079
30-May-2019 (11-29-05),0,156.4,122.079
30-May-2019 (11-29-06),0,156.4,122.079
30-May-2019 (11-29-07),0,156.4,122.079
30-May-2019 (11-29-10),0,76.6,26.751
30-May-2019 (11-29-11),0,76.6,26.751
30-May-2019 (11-29-12),0,76.6,26.751
30-May-2019 (11-29-13),0,98.7,26.751
30-May-2019 (11-29-14),0,173.0,119.568
30-May-2019 (11-29-15),0,173.0,119.568
30-May-2019 (11-29-16),0,173.0,119.568
30-May-2019 (11-29-17),0,173.0,119.568
30-May-2019 (11-29-18),0,173.0,119.568
30-May-2019 (11-29-19),0,173.0,119.568
30-May-2019 (11-29-20),0,173.0,117.062
30-May-2019 (11-29-21),0,173.0,117.062
30-May-2019 (11-29-22),0,173.0,117.062
30-May-2019 (11-29-23),0,173.0,117.062
30-May-2019 (11-29-26),0,97.5,52.529
30-May-2019 (11-29-27),0,97.5,52.529
30-May-2019 (11-29-28),0,97.5,52.529
30-May-2019 (11-29-45),0,152.1,95.549
30-May-2019 (11-29-46),0,152.1,95.549
30-May-2019 (11-29-47),0,152.1,95.549
30-May-2019 (11-29-48),0,152.1,95.549
30-May-2019 (11-29-49),0,152.1,127.081
30-May-2019 (11-29-50),0,152.1,127.081
30-May-2019 (11-29-51),0,152.1,127.081
30-May-2019 (11-29-52),0,152.1,127.081
30-May-2019 (11-29-53),0,152.1,127.081
30-May-2019 (11-29-54),0,152.1,124.559
30-May-2019 (11-29-55),0,152.1,124.559
30-May-2019 (11-30-14),0,114.5,105.083
30-May-2019 (11-30-15),0,114.5,105.083
30-May-2019 (11-30-16),0,114.5,105.083
30-May-2019 (11-30-17),0,114.5,105.083
30-May-2019 (11-30-18),0,114.5,105.083
30-May-2019 (11-30-30),0,127.5,26.622
30-May-2019 (11-30-31),0,127.5,26.622
30-May-2019 (11-30-32),0,127.5,26.622
30-May-2019 (11-30-33),0,127.5,26.622
30-May-2019 (11-30-34),0,127.5,119.98
30-May-2019 (11-30-35),0,127.5,119.98
30-May-2019 (11-30-36),0,127.5,119.98
30-May-2019 (11-30-37),0,127.5,119.98
30-May-2019 (11-30-40),0,123.4,120.976
30-May-2019 (11-30-41),0,123.4,120.976
30-May-2019 (11-30-46),0,148.5,26.241
30-May-2019 (11-30-47),0,148.5,26.241
30-May-2019 (11-30-48),0,148.5,26.241
30-May-2019 (11-30-49),0,148.5,133.94899999999998
30-May-2019 (11-30-50),0,148.5,133.94899999999998
30-May-2019 (11-30-51),0,148.5,133.94899999999998
30-May-2019 (11-30-52),0,148.5,133.94899999999998
30-May-2019 (11-30-53),0,148.5,133.94899999999998
30-May-2019 (11-30-54),0,148.5,121.893
30-May-2019 (11-30-55),0,148.5,121.893
30-May-2019 (11-30-56),0,148.5,121.893
30-May-2019 (11-30-57),0,148.5,121.893
30-May-2019 (11-30-58),0,148.5,121.893
30-May-2019 (11-30-59),0,148.5,118.578
30-May-2019 (11-31-02),0,151.4,118.578
30-May-2019 (11-31-03),0,151.4,118.578
30-May-2019 (11-31-04),0,151.4,110.034
30-May-2019 (11-31-05),0,151.4,110.034
30-May-2019 (11-31-06),0,151.4,110.034
30-May-2019 (11-31-07),0,151.4,110.034
30-May-2019 (11-31-18),0,151.3,127.777
30-May-2019 (11-31-19),0,151.3,147.217
30-May-2019 (11-31-20),0,151.3,147.217
30-May-2019 (11-31-21),0,151.3,147.217
30-May-2019 (11-31-22),0,151.3,147.217
30-May-2019 (11-31-23),0,151.3,147.217
30-May-2019 (11-31-24),0,151.3,124.028
30-May-2019 (11-31-25),0,151.3,124.028
30-May-2019 (11-31-26),0,151.3,124.028
30-May-2019 (11-31-27),0,151.3,124.028
30-May-2019 (11-31-28),0,151.3,124.028
30-May-2019 (11-31-29),0,151.3,118.109
30-May-2019 (11-31-30),0,151.3,118.109
30-May-2019 (11-31-31),0,151.3,118.109
30-May-2019 (11-31-42),0,165.3,120.135
30-May-2019 (11-31-50),0,163.5,26.571
30-May-2019 (11-31-51),0,163.5,26.571
30-May-2019 (11-31-52),0,163.5,26.571
30-May-2019 (11-31-53),0,163.5,26.571
30-May-2019 (11-31-54),0,163.5,124.302
30-May-2019 (11-31-55),0,163.5,124.302
30-May-2019 (11-31-56),0,163.5,124.302
30-May-2019 (11-31-57),0,163.5,124.302
30-May-2019 (11-31-58),0,163.5,124.302
30-May-2019 (11-31-59),0,163.5,122.698
30-May-2019 (11-32-00),0,163.5,122.698
30-May-2019 (11-32-01),0,163.5,122.698
30-May-2019 (11-32-02),0,163.5,122.698
30-May-2019 (11-32-03),0,163.5,122.698
30-May-2019 (11-32-06),0,152.1,26.751
30-May-2019 (11-32-07),0,152.1,26.751
30-May-2019 (11-32-08),0,89.1,26.751
30-May-2019 (11-32-13),0,192.9,117.304
30-May-2019 (11-32-19),0,103.9,97.251
30-May-2019 (11-32-22),0,145.3,97.251
30-May-2019 (11-32-23),0,145.3,97.251
30-May-2019 (11-32-24),0,145.3,113.287
30-May-2019 (11-32-25),0,145.3,113.287
30-May-2019 (11-32-26),0,145.3,113.287
30-May-2019 (11-32-27),0,145.3,113.287
30-May-2019 (11-32-28),0,145.3,113.287
30-May-2019 (11-32-29),0,145.3,121.094
30-May-2019 (11-32-30),0,145.3,121.094
30-May-2019 (11-32-31),0,145.3,121.094
30-May-2019 (11-32-32),0,145.3,121.094
30-May-2019 (11-32-33),0,145.3,121.094
30-May-2019 (11-32-34),0,145.3,119.547
30-May-2019 (11-32-38),0,172.0,119.547
