hours,bool,power_dev,power_met
01-Jan-2019 (04-24-47),0,90.6,72.587
01-Jan-2019 (04-25-07),0,83.4,75.09
01-Jan-2019 (04-25-08),0,83.4,75.09
01-Jan-2019 (04-25-09),0,83.4,75.09
01-Jan-2019 (04-25-22),0,109.7,74.76100000000002
01-Jan-2019 (04-25-24),0,115.7,74.76100000000002
01-Jan-2019 (04-25-54),0,174.2,73.83800000000002
01-Jan-2019 (04-26-14),0,141.9,75.137
01-Jan-2019 (04-27-35),0,185.8,154.75
01-Jan-2019 (04-27-36),0,185.8,154.75
01-Jan-2019 (04-27-37),0,185.8,154.75
01-Jan-2019 (04-27-38),0,185.8,154.75
01-Jan-2019 (04-27-39),0,185.8,154.75
01-Jan-2019 (04-28-07),0,174.0,71.737
01-Jan-2019 (04-28-08),0,174.0,71.737
01-Jan-2019 (04-28-09),0,81.3,71.737
01-Jan-2019 (04-28-27),0,189.3,72.891
01-Jan-2019 (04-28-28),0,154.1,72.891
01-Jan-2019 (04-28-29),0,154.1,72.891
01-Jan-2019 (04-29-09),0,127.6,72.643
01-Jan-2019 (04-29-24),0,174.7,84.214
01-Jan-2019 (04-29-56),0,196.5,177.092
01-Jan-2019 (04-30-38),0,119.3,69.934
01-Jan-2019 (04-30-39),0,119.3,69.934
01-Jan-2019 (04-30-58),0,155.4,69.923
01-Jan-2019 (04-30-59),0,155.4,69.923
01-Jan-2019 (04-32-03),0,107.5,71.5
01-Jan-2019 (04-32-04),0,107.5,71.5
01-Jan-2019 (04-32-23),0,117.2,70.954
01-Jan-2019 (04-32-24),0,203.6,70.954
01-Jan-2019 (04-32-46),0,189.3,167.273
01-Jan-2019 (04-32-47),0,189.3,167.273
01-Jan-2019 (04-32-48),0,189.3,167.273
01-Jan-2019 (04-32-49),0,189.3,167.273
01-Jan-2019 (04-33-28),0,137.2,74.225
01-Jan-2019 (04-33-29),0,216.0,74.225
01-Jan-2019 (04-33-48),0,177.7,69.846
01-Jan-2019 (04-33-49),0,177.7,69.846
01-Jan-2019 (04-34-34),0,415.9,297.599
01-Jan-2019 (04-34-47),0,1496.9,817.313
01-Jan-2019 (04-34-48),0,1496.9,817.313
01-Jan-2019 (04-34-49),0,1496.9,817.313
01-Jan-2019 (04-35-00),0,2886.7,1909.099
01-Jan-2019 (04-35-10),0,1601.6,1571.4879999999996
01-Jan-2019 (04-35-11),0,1601.6,1571.4879999999996
01-Jan-2019 (04-35-12),0,1601.6,1571.4879999999996
01-Jan-2019 (04-35-13),0,1601.6,1571.4879999999996
01-Jan-2019 (04-35-14),0,1601.6,1571.4879999999996
01-Jan-2019 (04-35-15),0,1601.6,1563.544
01-Jan-2019 (04-35-16),0,1601.6,1563.544
01-Jan-2019 (04-35-17),0,1601.6,1563.544
01-Jan-2019 (04-35-18),0,1601.6,1563.544
01-Jan-2019 (04-35-19),0,1601.6,1563.544
01-Jan-2019 (04-35-20),0,2777.9,1875.706
01-Jan-2019 (04-35-30),0,1617.3,1566.1
01-Jan-2019 (04-35-31),0,1617.3,1566.1
01-Jan-2019 (04-35-32),0,1617.3,1566.1
01-Jan-2019 (04-35-33),0,1617.3,1566.1
01-Jan-2019 (04-35-34),0,1617.3,1566.1
01-Jan-2019 (04-35-35),0,1617.3,1560.453
01-Jan-2019 (04-35-36),0,1617.3,1560.453
01-Jan-2019 (04-35-37),0,1617.3,1560.453
01-Jan-2019 (04-35-38),0,1617.3,1560.453
01-Jan-2019 (04-35-39),0,1617.3,1560.453
01-Jan-2019 (04-35-40),0,2488.3,1857.918
01-Jan-2019 (04-36-30),0,1593.5,1584.45
01-Jan-2019 (04-36-31),0,1593.5,1584.45
01-Jan-2019 (04-36-32),0,1593.5,1584.45
01-Jan-2019 (04-36-33),0,1593.5,1584.45
01-Jan-2019 (04-36-34),0,1593.5,1584.45
01-Jan-2019 (04-36-35),0,1593.5,1581.25
01-Jan-2019 (04-36-36),0,1593.5,1581.25
01-Jan-2019 (04-36-37),0,1593.5,1581.25
01-Jan-2019 (04-36-38),0,1593.5,1581.25
01-Jan-2019 (04-36-39),0,3003.0,1581.25
01-Jan-2019 (04-36-50),0,1634.0,1583.244
01-Jan-2019 (04-36-51),0,1634.0,1583.244
01-Jan-2019 (04-36-52),0,1634.0,1583.244
01-Jan-2019 (04-36-53),0,1634.0,1583.244
01-Jan-2019 (04-36-54),0,1634.0,1583.244
01-Jan-2019 (04-36-55),0,1634.0,1583.352
01-Jan-2019 (04-36-56),0,1634.0,1583.352
01-Jan-2019 (04-36-57),0,1634.0,1583.352
01-Jan-2019 (04-36-58),0,1634.0,1583.352
01-Jan-2019 (04-36-59),0,2730.7,1583.352
01-Jan-2019 (04-37-10),0,1620.5,1581.456
01-Jan-2019 (04-37-11),0,1620.5,1581.456
01-Jan-2019 (04-37-12),0,1620.5,1581.456
01-Jan-2019 (04-37-13),0,1620.5,1581.456
01-Jan-2019 (04-37-14),0,1620.5,1581.456
01-Jan-2019 (04-37-15),0,1620.5,1582.786
01-Jan-2019 (04-37-16),0,1620.5,1582.786
01-Jan-2019 (04-37-17),0,1620.5,1582.786
01-Jan-2019 (04-37-18),0,1620.5,1582.786
01-Jan-2019 (04-37-19),0,2972.3,1582.786
01-Jan-2019 (04-37-30),0,1627.3,1582.987
01-Jan-2019 (04-37-31),0,1627.3,1582.987
01-Jan-2019 (04-37-32),0,1627.3,1582.987
01-Jan-2019 (04-37-33),0,1627.3,1582.987
01-Jan-2019 (04-37-34),0,1627.3,1582.987
01-Jan-2019 (04-37-39),0,2946.5,2403.607
01-Jan-2019 (04-38-38),0,3100.3,1667.179
01-Jan-2019 (04-38-45),0,1716.3,1665.994
01-Jan-2019 (04-38-46),0,1716.3,1665.994
01-Jan-2019 (04-38-47),0,1716.3,1665.994
01-Jan-2019 (04-38-48),0,1716.3,1665.994
01-Jan-2019 (04-38-49),0,1716.3,1665.994
01-Jan-2019 (04-38-50),0,1716.3,1664.4589999999996
01-Jan-2019 (04-38-51),0,1716.3,1664.4589999999996
01-Jan-2019 (04-38-52),0,1716.3,1664.4589999999996
01-Jan-2019 (04-38-53),0,1716.3,1664.4589999999996
01-Jan-2019 (04-38-54),0,1716.3,1664.4589999999996
01-Jan-2019 (04-38-55),0,1716.3,1662.677
01-Jan-2019 (04-38-56),0,1716.3,1662.677
01-Jan-2019 (04-38-57),0,1716.3,1662.677
01-Jan-2019 (04-38-58),0,1716.3,1662.677
01-Jan-2019 (04-39-05),0,1701.0,1667.746
01-Jan-2019 (04-39-06),0,1701.0,1667.746
01-Jan-2019 (04-39-07),0,1701.0,1667.746
01-Jan-2019 (04-39-08),0,1701.0,1667.746
01-Jan-2019 (04-39-09),0,1701.0,1667.746
01-Jan-2019 (04-39-10),0,1701.0,1666.2420000000004
01-Jan-2019 (04-39-11),0,1701.0,1666.2420000000004
01-Jan-2019 (04-39-12),0,1701.0,1666.2420000000004
01-Jan-2019 (04-39-13),0,1701.0,1666.2420000000004
01-Jan-2019 (04-39-14),0,1701.0,1666.2420000000004
