HOUSE,JAN,FEB,MAR,APRIL,MAY,TOT
EB4,0.0,6.45e-05,0.0004297,0.0004904,,0.0001976
EB9,0.0223163,0.0139633,0.0111526,0.0005637,,0.0095723
EB8,0.0037836,0.0030638,0.0046677,0.0007716,0.0007333,0.002607
EB5,2.2e-06,0.0033734,0.0,0.0029471,0.0044698,0.0021292
EB7,0.0026751,0.0031138,0.0148111,0.0073962,0.014098,0.008531
EB4TV,0.0006799,6.45e-05,0.0004297,0.0027967,0.003019,0.0014152
EB6,0.0075045,0.0193275,0.0106874,0.0357801,0.00269,0.0149795
EB3,0.0254073,0.0271346,0.0192604,0.0160945,0.0031328,0.0180425
EB1,0.0003745,0.0019296,0.0019086,0.0036906,0.0006597,0.0016952
